Date,open,high,low,close,volume,quote_asset_volume,num_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-08-26 16:00:00,109666.34,111162.59,109450.0,111116.03,3548.51055,391349262.893998,569890,2212.50107,244219208.03903887
2025-08-26 20:00:00,111116.03,112371.0,110918.26,111763.22,2426.69707,270883236.8205833,375616,1322.1733,147556771.7895197
2025-08-27 00:00:00,111763.22,111825.16,110918.26,111418.15,2172.27313,241949639.3067775,410582,925.30522,103068605.987928
2025-08-27 04:00:00,111418.15,111737.26,110622.5,110725.18,1809.80294,201194156.6001546,370060,762.79756,84846421.7632439
2025-08-27 08:00:00,110725.19,111374.45,110345.42,111322.07,1594.26753,176776430.3214862,317061,785.60547,87145518.0756922
2025-08-27 12:00:00,111322.07,112625.0,111019.02,112000.0,3310.1006,369950416.97553694,824967,1672.05486,186863860.893853
2025-08-27 16:00:00,111999.99,112600.0,111541.23,112080.69,1902.42552,213222697.39975688,506775,907.01397,101668324.6928952
2025-08-27 20:00:00,112080.68,112452.05,110921.79,111262.01,2603.73903,290681586.5871196,682051,1209.06842,134993612.7638673
2025-08-28 00:00:00,111262.01,112042.04,110862.42,112000.01,1203.77782,134253218.2686463,375072,597.52028,66649542.656312
2025-08-28 04:00:00,112000.0,113360.0,111945.07,113114.11,2481.91862,280232965.37310326,395525,1238.58901,139818288.7754276
2025-08-28 08:00:00,113114.11,113351.51,112826.22,112909.18,1419.04336,160395511.264074,164734,540.02909,61048034.1172917
2025-08-28 12:00:00,112909.18,113485.9,112391.56,112678.53,3088.9335,348792906.070429,597709,1381.73513,156076823.9508514
2025-08-28 16:00:00,112678.53,113186.56,111901.35,111901.36,1813.29699,203973679.426193,360972,798.74966,89870954.5300189
2025-08-28 20:00:00,111901.36,112575.98,111872.06,112566.9,1097.30715,123140201.5428762,172768,582.84192,65402359.6539132
2025-08-29 00:00:00,112566.9,112638.64,111302.27,111704.23,2123.00621,237282218.20052353,405287,965.39965,107902817.3723455
2025-08-29 04:00:00,111704.24,111850.56,109899.99,110019.38,4260.9718,472460597.8874647,499168,1929.0576,213853323.4389724
2025-08-29 08:00:00,110019.38,110270.3,109414.18,110098.81,2848.31026,313002938.9183502,448903,1604.11242,176286557.3393271
2025-08-29 12:00:00,110098.81,111517.07,108103.0,108386.23,7729.2804,845034516.9628183,1246052,3797.67907,415295549.5651797
2025-08-29 16:00:00,108386.23,108832.0,107934.24,108212.01,2605.64538,282494047.1271618,591209,1064.08261,115386931.3059895
2025-08-29 20:00:00,108212.01,108549.99,107463.9,108377.4,3013.0964,325218173.4812112,416340,1256.02509,135596334.0826429
2025-08-30 00:00:00,108377.4,108436.21,107350.1,108436.2,3244.13736,350563966.56231606,430111,1572.81933,169958646.6998013
2025-08-30 04:00:00,108436.21,108697.28,108120.0,108524.26,3052.32523,330960187.6757342,285923,1928.41443,209129100.05219528
2025-08-30 08:00:00,108524.26,108777.43,108400.0,108680.01,1416.9539,153824302.4666754,167658,803.45769,87222342.9468802
2025-08-30 12:00:00,108680.01,108926.15,108190.52,108869.98,1540.53972,167213327.0555019,272361,744.34436,80816639.2840648
2025-08-30 16:00:00,108869.98,108900.0,108625.46,108828.33,677.58629,73708948.9009016,133138,358.75258,39025143.8743379
2025-08-30 20:00:00,108828.32,108838.27,108468.77,108816.33,776.84909,84396040.0776231,121849,389.38944,42305921.9861215
2025-08-31 00:00:00,108816.33,109480.02,108801.35,109223.84,1756.83146,191851864.51821473,262048,907.25205,99101944.6270099
2025-08-31 04:00:00,109223.84,109231.41,108523.49,108708.26,1177.25929,128038261.1171859,168415,433.77972,47170551.1524927
2025-08-31 08:00:00,108708.25,109100.0,108303.21,108389.76,1590.89462,172733411.2456625,234357,619.64134,67289247.5814926
2025-08-31 12:00:00,108389.77,108858.43,108191.29,108818.69,2441.88905,264753055.11295953,277584,1270.38908,137781179.9539614
2025-08-31 16:00:00,108818.69,109237.51,108555.0,108930.0,1232.50315,134226505.0789246,189011,701.32991,76368930.4448466
2025-08-31 20:00:00,108930.0,109230.0,108076.93,108246.35,1290.13839,140203797.2783846,235218,641.21848,69695034.4093851
2025-09-01 00:00:00,108246.36,108482.98,107393.0,107660.01,3206.34097,345784012.6450698,678736,1375.11859,148293046.6413816
2025-09-01 04:00:00,107660.0,109432.99,107255.0,109432.99,2904.1728,314052268.6712899,493783,1561.84645,169036237.6185919
2025-09-01 08:00:00,109432.99,109912.4,108186.41,108782.88,3111.29125,339723577.215058,498993,1419.73877,155028031.5187352
2025-09-01 12:00:00,108782.89,109520.0,108566.0,108784.33,2266.34513,247152798.2465716,411529,1002.90732,109391704.1891758
2025-09-01 16:00:00,108784.33,109329.65,108391.3,109217.64,1553.15049,169171627.4131109,266402,729.82289,79485942.099046
2025-09-01 20:00:00,109217.65,109442.95,107459.49,109237.42,3012.30155,326632354.590035,379941,1443.55699,156495986.9175029
2025-09-02 00:00:00,109237.43,110623.97,108883.8,110322.18,3166.02008,347302857.0920374,400395,1758.40749,192932933.82073593
2025-09-02 04:00:00,110322.19,110610.5,110000.0,110233.92,1952.71608,215347311.9284868,328089,994.93733,109733095.5917023
2025-09-02 08:00:00,110233.91,110711.1,109563.87,109733.34,2462.01591,271307194.7328318,361037,1048.27551,115579298.951495
2025-09-02 12:00:00,109733.33,111771.52,108393.39,110829.17,6768.89317,747343925.5807297,880798,3315.12492,366060490.7381577
2025-09-02 16:00:00,110829.16,111119.58,110200.0,110806.0,2585.23037,286198581.1894153,430929,1163.37175,128803940.0083742
2025-09-02 20:00:00,110806.01,111538.17,110716.77,111240.01,1575.41195,175181581.3781373,195080,808.60027,89923046.4263344
2025-09-03 00:00:00,111240.01,111782.21,110892.14,111054.01,2263.61693,251962277.5123808,400128,1035.13985,115264434.130913
2025-09-03 04:00:00,111054.0,111151.99,110528.71,111099.88,1539.69973,170595738.5087658,260732,572.8509,63480328.8447248
2025-09-03 08:00:00,111099.87,111708.0,110889.29,111437.77,1514.83708,168636555.4117026,286651,811.07758,90303943.3808384
2025-09-03 12:00:00,111437.77,112500.0,111031.61,112222.74,3550.00487,396916280.07101566,746472,1807.53585,202109934.9659924
2025-09-03 16:00:00,112222.73,112575.27,111686.24,112193.74,1957.30873,219492588.7127414,351115,913.79838,102476028.1575529
2025-09-03 20:00:00,112193.74,112250.0,111613.98,111705.71,948.2535,106159177.1270582,169151,398.89206,44659007.0274964
2025-09-04 00:00:00,111705.72,112180.0,111136.0,111148.97,1484.75903,165748620.0062379,303729,652.02619,72804148.4054628
2025-09-04 04:00:00,111148.97,111318.84,110279.68,110463.36,2293.72804,253892672.8812808,341359,895.54519,99123553.2636245
2025-09-04 08:00:00,110463.36,111154.93,110415.72,110810.0,1251.00126,138632770.0566789,246423,668.87931,74125292.9623633
2025-09-04 12:00:00,110810.0,111123.99,109329.12,109510.31,3057.95062,336674953.0189619,635685,1500.4117,165173050.4121598
2025-09-04 16:00:00,109510.32,110218.39,109363.26,109799.99,2124.63495,233220356.07925448,376615,1370.88022,150452129.1352163
2025-09-04 20:00:00,109800.0,111765.31,109755.59,110730.87,1991.06146,220861953.4896706,326444,983.0389,109003011.6468834
2025-09-05 00:00:00,110730.87,111482.09,110435.75,111311.77,1665.5758,184903566.3810062,310264,896.56239,99523095.3765018
2025-09-05 04:00:00,111311.78,112999.0,111144.51,112954.32,3481.17531,390189332.5100123,410628,1791.39517,200892965.23502567
2025-09-05 08:00:00,112954.32,112985.0,112131.02,112354.0,1956.82884,220089308.29147488,280041,945.71148,106345395.030864
2025-09-05 12:00:00,112354.0,113384.62,110286.91,110716.82,9805.88987,1098894219.3096433,1310302,5024.28213,563019857.1722223
2025-09-05 16:00:00,110716.82,111627.51,110206.96,111614.54,2167.09419,240396957.9781989,350335,1005.0419,111487864.1496454
2025-09-05 20:00:00,111614.54,111700.0,110375.6,110659.99,2510.84487,278658816.1529894,308849,1124.8182,124797084.2629419
2025-09-06 00:00:00,110660.0,111307.7,110552.56,111082.22,800.18218,88738263.427998,140100,353.50927,39209399.2727047
2025-09-06 04:00:00,111082.23,111082.23,110687.69,110825.6,687.98406,76249293.0210022,94842,247.55686,27432976.9014422
2025-09-06 08:00:00,110825.59,110968.0,110675.58,110781.02,621.90211,68882709.4400182,93699,313.76931,34752578.2047686
2025-09-06 12:00:00,110781.03,110999.83,110358.11,110384.15,886.00942,98108968.717899,142658,460.89526,51042181.3665253
2025-09-06 16:00:00,110384.16,110402.0,109977.0,110038.41,1391.66059,153326892.0340956,233868,605.91642,66759272.273712
2025-09-06 20:00:00,110038.42,110282.82,110034.44,110187.97,612.56061,67479809.9024569,90034,327.18585,36041018.9268582
2025-09-07 00:00:00,110187.98,110733.12,110180.0,110629.15,948.63792,104787931.4071837,116828,389.49018,43022071.9487402
2025-09-07 04:00:00,110629.15,110911.42,110463.1,110753.42,872.74711,96571750.76981,108685,381.50211,42229956.3323119
2025-09-07 08:00:00,110753.41,111377.19,110720.01,111292.13,1214.41306,134950562.8624273,190930,552.37185,61369941.3567853
2025-09-07 12:00:00,111292.12,111412.0,111042.6,111329.99,837.52385,93137851.4059557,142417,344.09796,38265361.0551275
