Date,open,high,low,close,open_binned,high_binned,low_binned,close_binned,volume_binned,quote_asset_volume_binned,num_trades_binned,taker_buy_base_asset_volume_binned,taker_buy_quote_asset_volume_binned,MA_20_binned,EMA_20_binned,BBL_20_2.0_binned,BBM_20_2.0_binned,BBU_20_2.0_binned,BBB_20_2.0_binned,BBP_20_2.0_binned,RSI_14_binned,MACD_12_26_9_binned,MACDs_12_26_9_binned,MACDh_12_26_9_binned,ATR_14_binned,Return_binned,High_Low_binned,Open_Close_binned,UpperShadow_binned,LowerShadow_binned,Hour_binned,Weekday_binned,Volume_MA20_binned,Volume_Change_binned,VWAP_binned,VWAP_20_binned
2025-08-17 12:00:00,118308.0,118575.0,118059.12,118246.16,4,4,4,4,0,0,0,0,0,4.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,0.0,3.0,0,3,2,1,2,6,4.0,2.0,4,4.0
2025-08-17 16:00:00,118246.15,118316.01,117321.53,117570.07,4,4,3,4,1,1,1,1,1,4.0,4,4.0,4.0,1.0,4.0,4.0,2.0,4,4,4,2.0,0.0,2,0,0,2,3,6,4.0,4.0,4,4.0
2025-08-17 20:00:00,117570.07,117995.37,117371.65,117405.01,3,3,4,3,0,0,0,0,0,3.0,3,4.0,3.0,0.0,3.0,3.0,4.0,4,4,4,0.0,1.0,0,1,3,0,4,6,0.0,0.0,4,3.0
2025-08-18 00:00:00,117405.01,117543.75,115000.0,115319.0,3,3,2,1,4,4,4,4,4,3.0,3,3.0,3.0,3.0,0.0,0.0,1.0,3,3,2,1.0,0.0,4,0,0,3,0,0,1.0,4.0,3,3.0
2025-08-18 04:00:00,115319.0,115712.49,114878.71,115205.98,1,0,1,1,4,4,3,4,4,2.0,2,2.0,2.0,3.0,0.0,0.0,0.0,2,2,0,1.0,2.0,1,2,2,4,0,0,2.0,0.0,2,2.0
2025-08-18 08:00:00,115205.99,115402.51,114640.14,114947.27,0,0,0,0,4,4,2,3,3,2.0,2,2.0,2.0,4.0,0.0,0.0,0.0,0,2,0,2.0,1.0,1,1,1,3,1,0,2.0,1.0,2,2.0
2025-08-18 12:00:00,114947.27,116186.97,114825.0,116145.34,0,1,1,2,3,3,4,4,4,1.0,1,1.0,1.0,2.0,2.0,2.0,3.0,1,1,0,3.0,4.0,4,4,0,1,2,0,3.0,3.0,1,1.0
2025-08-18 16:00:00,116145.34,116800.0,115818.86,116313.99,1,2,2,3,2,2,2,2,2,1.0,1,1.0,1.0,0.0,3.0,3.0,3.0,1,1,1,3.0,3.0,2,4,3,4,3,0,3.0,0.0,1,1.0
2025-08-18 20:00:00,116314.0,116980.0,115980.32,116227.05,2,2,3,2,1,1,1,0,0,0.0,0,0.0,0.0,0.0,2.0,2.0,2.0,2,0,3,4.0,2.0,3,2,4,2,4,0,0.0,1.0,0,0.0
2025-08-19 00:00:00,116227.05,116725.69,114787.23,114810.0,2,1,0,0,2,2,4,2,2,0.0,0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,2,4.0,0.0,4,0,4,0,0,1,0.0,4.0,0,0.0
2025-08-19 04:00:00,114810.01,115483.24,114366.0,114978.14,0,0,0,0,3,3,3,3,3,0.0,0,0.0,0.0,2.0,1.0,1.0,1.0,0,0,1,4.0,4.0,3,3,4,4,0,1,1.0,3.0,0,0.0
2025-08-19 08:00:00,114978.15,115650.0,114804.0,115508.71,4,4,4,4,0,0,1,1,1,4.0,4,4.0,4.0,2.0,3.0,3.0,3.0,4,4,2,0.0,4.0,1,4,1,1,1,0,0.0,0.0,4,4.0
2025-08-19 12:00:00,115508.71,115875.84,113587.68,113786.38,4,4,3,2,4,4,4,4,4,4.0,4,4.0,4.0,3.0,0.0,0.0,0.0,3,4,1,2.0,0.0,4,0,3,2,2,0,0.0,4.0,4,4.0
2025-08-19 16:00:00,113786.39,113897.58,112767.06,113132.48,2,1,1,0,4,4,3,4,4,4.0,4,4.0,4.0,4.0,0.0,0.0,0.0,2,4,0,3.0,0.0,3,0,0,4,3,0,0.0,2.0,4,4.0
2025-08-19 20:00:00,113132.49,113589.48,112732.58,112872.94,0,0,0,0,3,2,1,2,2,3.0,3,3.0,3.0,4.0,0.0,0.0,0.0,0,3,0,4.0,1.0,1,1,4,1,4,0,1.0,1.0,3,3.0
2025-08-20 00:00:00,112872.95,113636.13,112566.01,113525.91,0,0,0,1,3,3,3,3,3,3.0,3,3.0,3.0,4.0,1.0,1.0,1.0,0,3,0,4.0,4.0,3,4,0,3,0,3,1.0,3.0,3,3.0
2025-08-20 04:00:00,113525.9,113837.93,113432.0,113490.13,1,0,2,1,0,0,0,0,0,2.0,2,1.0,2.0,3.0,1.0,1.0,1.0,0,2,1,4.0,2.0,0,2,2,0,0,3,2.0,0.0,2,2.0
2025-08-20 08:00:00,113490.14,114016.77,113060.08,113666.68,1,1,1,2,2,2,2,2,2,2.0,2,0.0,2.0,2.0,2.0,2.0,4.0,1,1,2,0.0,3.0,2,3,3,4,1,3,2.0,4.0,2,2.0
2025-08-20 12:00:00,113666.69,114326.35,112380.0,113353.94,2,2,0,0,4,4,4,4,4,1.0,1,0.0,1.0,1.0,2.0,2.0,4.0,1,0,3,2.0,1.0,4,1,4,4,2,3,3.0,4.0,1,1.0
2025-08-20 16:00:00,113353.94,114444.0,113264.01,114276.66,0,3,2,4,2,3,4,3,3,1.0,1,0.0,1.0,1.0,4.0,4.0,4.0,2,0,3,3.0,4.0,4,4,1,0,3,3,3.0,0.0,1,1.0
2025-08-20 20:00:00,114276.66,114615.38,114000.0,114271.24,4,3,4,4,0,0,0,0,0,0.0,0,1.0,0.0,0.0,4.0,4.0,3.0,3,0,4,1.0,3.0,0,3,2,2,4,3,4.0,1.0,0,0.0
